dataset,method,series,rows,seeds,points,valid_point_pa_series,valid_event_pa_series,zero_anomaly_series,coverage_ratio,point_f1_pa,point_f1_pa_std,event_f1_pa_log,event_f1_pa_log_std,point_precision_pa,point_precision_pa_std,point_recall_pa,point_recall_pa_std,point_threshold_pa,point_threshold_pa_std,event_precision_pa_log,event_precision_pa_log_std,event_recall_pa_log,event_recall_pa_log_std,event_threshold_pa_log,event_threshold_pa_log_std
AIOPS,TShape-zero-plus-pattern-cv,29,87,3,9220581,29,29,0,1.000000,0.895799,0.092260,0.760090,0.150481,0.909308,0.098266,0.895594,0.122842,0.137980,0.122044,0.795608,0.134418,0.758563,0.195349,0.177363,0.128005
NAB,TShape-zero-plus-pattern-cv,10,30,3,237924,10,10,0,1.000000,0.998613,0.002132,0.920867,0.115019,0.997239,0.004242,1.000000,0.000000,0.610045,0.230820,0.872013,0.181468,1.000000,0.000000,0.610045,0.230820
TODS,TShape-zero-plus-pattern-cv,15,45,3,224955,15,15,0,1.000000,0.772959,0.136337,0.671355,0.088987,0.745956,0.183960,0.848424,0.158676,0.170049,0.189675,0.585088,0.154687,0.822471,0.078747,0.185733,0.198629
UCR,TShape-zero-plus-pattern-cv,203,609,3,23347008,201,201,2,1.000000,0.673727,0.373629,0.405578,0.432088,0.617555,0.394173,1.000000,0.000000,0.512165,0.275492,0.371526,0.436038,1.000000,0.000000,0.512165,0.275492
WSD,TShape-zero-plus-pattern-cv,210,630,3,11487981,161,161,49,1.000000,0.966226,0.067354,0.869425,0.174256,0.946634,0.096150,0.992726,0.035193,0.411097,0.251673,0.857219,0.214901,0.929561,0.128542,0.463771,0.233873
Yahoo,TShape-zero-plus-pattern-cv,367,1101,3,858576,352,352,15,1.000000,0.764803,0.210934,0.746859,0.213178,0.704348,0.255389,0.919156,0.165187,0.679799,0.216107,0.686475,0.257957,0.905944,0.180212,0.690546,0.203395
