dataset,series,method,seed,score_file,label_offset,points,anomaly_ratio,ap,auc,best_f1,best_precision,best_recall,f1_q95,f1_q97,f1_q99,f1_q995,f1_mad3,precision_q99,recall_q99,precision_mad3,recall_mad3,event_f1_q95,event_f1_q97,event_f1_q99,event_f1_q995,event_f1_mad3,easytsad_event_f1_log,easytsad_event_precision_log,easytsad_event_recall_log,easytsad_event_threshold_log,easytsad_point_f1_pa,easytsad_point_precision_pa,easytsad_point_recall_pa,easytsad_point_threshold_pa
UCR,resperation9,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/resperation9.npy,16,156984,0.000637,0.953286,0.996651,0.899522,0.862385,0.940000,0.024906,0.041164,0.118563,0.223729,0.008235,0.063057,0.990000,0.004135,0.990000,0.000686,0.001123,0.003425,0.007394,0.000266,1.000000,1.000000,1.000000,12.666603,1.000000,1.000000,1.000000,12.666603
UCR,s20101m,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/s20101m.npy,16,29984,0.003335,0.025393,0.596697,0.077739,0.060109,0.110000,0.022500,0.030000,0.065000,0.072000,0.011924,0.043333,0.130000,0.006083,0.300000,0.009234,0.011696,0.031746,0.059701,0.006107,0.888889,0.800000,1.000000,0.116152,0.995025,0.990099,1.000000,0.116152
UCR,s20101mML2,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/s20101mML2.npy,16,27984,0.003573,0.106132,0.708913,0.144000,0.360000,0.090000,0.054667,0.074468,0.089474,0.108333,0.024006,0.060714,0.170000,0.012292,0.510000,0.017647,0.025723,0.051282,0.086331,0.006300,1.000000,1.000000,1.000000,0.185560,1.000000,1.000000,1.000000,0.185560
UCR,sddb49,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/sddb49.npy,16,59984,0.004168,0.099030,0.700035,0.214286,0.418605,0.144000,0.043692,0.059512,0.112941,0.152727,0.027140,0.080000,0.192000,0.014014,0.428000,0.017804,0.022069,0.031646,0.061350,0.010886,0.666667,0.500000,1.000000,0.019816,0.990099,0.980392,1.000000,0.019816
UCR,sel840mECG1,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/sel840mECG1.npy,16,42984,0.008608,0.013008,0.502070,0.038462,0.036585,0.040541,0.024603,0.030120,0.037500,0.034188,0.019847,0.034884,0.040541,0.010442,0.200000,0.016430,0.021482,0.045070,0.068966,0.017098,0.769231,0.625000,1.000000,0.339777,0.995962,0.991957,1.000000,0.339777
UCR,sel840mECG2,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/sel840mECG2.npy,16,36985,0.010004,0.010646,0.513676,0.023564,0.025890,0.021622,0.018018,0.017568,0.021622,0.010811,0.021045,0.021622,0.021622,0.011028,0.229730,0.017291,0.018253,0.040816,0.041667,0.025704,0.095238,0.050000,1.000000,0.008098,0.886228,0.795699,1.000000,0.008098
UCR,taichidbS0715Master,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/taichidbS0715Master.npy,16,659954,0.000152,0.000120,0.507957,0.001353,0.000683,0.070000,0.000288,0.000288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001464,0.001464,0.000000,0.000000,0.000000,0.001152,0.000576,1.000000,0.000326,0.028015,0.014207,1.000000,0.000326
UCR,tilt12744mtable,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/tilt12744mtable.npy,16,186651,0.001393,0.001343,0.488806,0.003399,0.001714,0.203846,0.000625,0.000000,0.000000,0.000000,0.003251,0.000000,0.000000,0.001638,0.215385,0.001163,0.000000,0.000000,0.000000,0.000677,0.001143,0.000572,1.000000,0.000125,0.056180,0.028902,1.000000,0.000125
UCR,tilt12754table,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/tilt12754table.npy,16,200233,0.001298,0.001342,0.558228,0.003479,0.001743,0.796154,0.000000,0.000000,0.000000,0.000000,0.001180,0.000000,0.000000,0.000597,0.050000,0.000000,0.000000,0.000000,0.000000,0.010295,0.000732,0.000366,1.000000,0.000467,0.036697,0.018692,1.000000,0.000467
UCR,tilt12755mtable,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/tilt12755mtable.npy,16,199640,0.001352,0.006195,0.611231,0.060109,0.047619,0.081481,0.010925,0.014696,0.028231,0.042553,0.005190,0.016024,0.118519,0.002612,0.407407,0.004272,0.005076,0.014480,0.022222,0.003069,0.046729,0.023923,1.000000,0.000546,0.725806,0.569620,1.000000,0.000546
UCR,tiltAPB1,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/tiltAPB1.npy,16,29985,0.002234,0.027847,0.656905,0.080000,0.375000,0.044776,0.017869,0.022751,0.038147,0.036866,0.011829,0.023333,0.104478,0.006000,0.417910,0.019627,0.023952,0.045283,0.042857,0.011782,0.857143,0.750000,1.000000,0.028413,0.992593,0.985294,1.000000,0.028413
UCR,tiltAPB2,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/tiltAPB2.npy,16,78751,0.010489,0.086765,0.594628,0.137421,0.541667,0.078692,0.059614,0.074632,0.109046,0.116393,0.039451,0.111675,0.106538,0.021066,0.309927,0.043285,0.054103,0.088235,0.105660,0.027145,1.000000,1.000000,1.000000,1.847954,1.000000,1.000000,1.000000,1.847954
UCR,tiltAPB3,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/tiltAPB3.npy,16,89473,0.004135,0.002866,0.353855,0.008343,0.004190,0.943243,0.000413,0.000000,0.000000,0.000000,0.000144,0.000000,0.000000,0.000074,0.002703,0.000857,0.000000,0.000000,0.000000,0.000240,0.002603,0.001303,1.000000,0.003690,0.161855,0.088053,1.000000,0.003690
UCR,tiltAPB4,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/tiltAPB4.npy,16,107985,0.000009,0.500000,0.999991,0.666667,0.500000,1.000000,0.000370,0.000617,0.001850,0.003697,0.000122,0.000926,1.000000,0.000061,1.000000,0.000720,0.001327,0.003854,0.006452,0.000204,0.666667,0.500000,1.000000,3.849998,0.666667,0.500000,1.000000,3.849998
UCR,weallwalk,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/weallwalk.npy,16,7755,0.003868,0.006374,0.599294,0.021739,0.016129,0.033333,0.014354,0.015209,0.018519,0.000000,0.012945,0.012821,0.033333,0.006601,0.333333,0.006515,0.011299,0.033898,0.000000,0.010132,0.089552,0.046875,1.000000,0.035090,0.495868,0.329670,1.000000,0.035090
WSD,0,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/0.npy,16,18220,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WSD,1,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/1.npy,16,18220,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WSD,10,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/10.npy,16,18220,0.003897,0.068369,0.791600,0.183099,0.183099,0.183099,0.057026,0.077670,0.133858,0.159509,0.030214,0.092896,0.239437,0.015513,0.577465,0.036014,0.058594,0.140351,0.209302,0.015880,0.750000,0.600000,1.000000,0.300751,0.986111,0.972603,1.000000,0.300751
WSD,100,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/100.npy,16,18220,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WSD,101,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/101.npy,16,18220,0.001427,0.112214,0.791144,0.242424,0.571429,0.153846,0.021345,0.034904,0.047847,0.067797,0.010390,0.027322,0.192308,0.005239,0.615385,0.009840,0.016032,0.034286,0.065217,0.003483,1.000000,1.000000,1.000000,0.207249,1.000000,1.000000,1.000000,0.207249
WSD,102,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/102.npy,16,18062,0.004097,0.168216,0.691034,0.300000,0.576923,0.202703,0.051125,0.074675,0.141176,0.206061,0.024380,0.099448,0.243243,0.012568,0.405405,0.038760,0.055202,0.141176,0.266667,0.018549,0.827586,0.800000,0.857143,0.028526,0.961039,0.925000,1.000000,0.013684
WSD,103,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/103.npy,16,18222,0.005762,0.123634,0.512845,0.183333,0.733333,0.104762,0.053097,0.073620,0.118056,0.131980,0.090692,0.092896,0.161905,0.060510,0.180952,0.053659,0.073643,0.149733,0.242424,0.101911,1.000000,1.000000,1.000000,0.089982,1.000000,1.000000,1.000000,0.089982
WSD,104,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/104.npy,16,18375,0.003646,0.351128,0.756071,0.500000,0.920000,0.343284,0.060852,0.090468,0.207171,0.289308,0.030651,0.141304,0.388060,0.015729,0.597015,0.027743,0.040568,0.116959,0.195122,0.013340,1.000000,1.000000,1.000000,0.018948,1.000000,1.000000,1.000000,0.018948
WSD,105,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/105.npy,16,18292,0.006615,0.362691,0.724586,0.480000,0.607595,0.396694,0.125483,0.185075,0.361842,0.460094,0.119157,0.300546,0.454545,0.067010,0.537190,0.058617,0.095050,0.314465,0.586667,0.055188,0.863636,0.904762,0.826087,0.081139,0.934363,0.876812,1.000000,0.028797
WSD,106,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/106.npy,16,18170,0.004953,0.233964,0.722714,0.364964,0.531915,0.277778,0.082082,0.110063,0.227941,0.309392,0.046939,0.170330,0.344444,0.024599,0.511111,0.044010,0.061100,0.156627,0.285714,0.022542,0.829268,0.708333,1.000000,0.031986,0.962567,0.927835,1.000000,0.031986
WSD,107,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/107.npy,16,18198,0.009946,0.227702,0.706290,0.309353,0.443299,0.237569,0.124656,0.176066,0.258953,0.301471,0.069079,0.258242,0.259669,0.037317,0.464088,0.088836,0.133333,0.312500,0.514851,0.042261,0.931034,0.931034,0.931034,0.028174,0.986376,0.973118,1.000000,0.017810
WSD,108,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/108.npy,16,18063,0.002381,0.207159,0.729370,0.303797,0.333333,0.279070,0.044351,0.058120,0.116071,0.179104,0.018965,0.071823,0.302326,0.009646,0.558140,0.024450,0.031936,0.089385,0.173913,0.009018,0.888889,0.800000,1.000000,0.022850,0.977273,0.955556,1.000000,0.022850
WSD,109,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/109.npy,16,18221,0.004939,0.260832,0.755149,0.364865,0.465517,0.300000,0.079840,0.122449,0.234432,0.318681,0.034054,0.174863,0.355556,0.017544,0.577778,0.039437,0.067568,0.174497,0.333333,0.016000,0.933333,1.000000,0.875000,0.171065,0.922156,1.000000,0.855556,0.171065
WSD,11,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/11.npy,16,18220,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WSD,110,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/110.npy,16,18375,0.003592,0.204960,0.688574,0.300000,0.857143,0.181818,0.040609,0.061489,0.136000,0.189873,0.026105,0.092391,0.257576,0.013426,0.469697,0.025882,0.038314,0.101124,0.157303,0.014170,0.909091,0.833333,1.000000,0.019136,0.985075,0.970588,1.000000,0.019136
WSD,111,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/111.npy,16,18289,0.005577,0.247988,0.725443,0.390244,0.516129,0.313725,0.094395,0.135177,0.259649,0.350515,0.048193,0.202186,0.362745,0.025245,0.529412,0.039702,0.053830,0.212500,0.426667,0.021127,1.000000,1.000000,1.000000,0.120757,1.000000,1.000000,1.000000,0.120757
WSD,112,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/112.npy,16,18172,0.004017,0.128510,0.611264,0.260000,0.481481,0.178082,0.038697,0.051696,0.109804,0.170732,0.041820,0.076923,0.191781,0.022973,0.232877,0.028834,0.037267,0.103448,0.200000,0.031949,0.800000,0.666667,1.000000,0.027502,0.954248,0.912500,1.000000,0.027502
WSD,113,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/113.npy,16,18198,0.007199,0.257782,0.680507,0.340206,0.523810,0.251908,0.105668,0.147710,0.268371,0.306306,0.080225,0.230769,0.320611,0.044186,0.435115,0.062428,0.097744,0.260870,0.425532,0.045864,0.837209,0.947368,0.750000,0.178554,0.939068,0.885135,1.000000,0.028163
WSD,114,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/114.npy,16,18220,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WSD,115,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/WSD/115.npy,16,18220,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
