dataset,series,method,seed,provenance,score_file,label_offset,points,anomaly_ratio,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
Yahoo,A4Benchmark-TS21,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS21.npy,16,824,0.006068,0.714286,0.555556,1.000000,0.113007,0.714286,0.555556,1.000000,0.113007
Yahoo,A4Benchmark-TS22,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS22.npy,16,824,0.002427,0.800000,0.666667,1.000000,0.474616,0.800000,0.666667,1.000000,0.474616
Yahoo,A4Benchmark-TS23,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS23.npy,16,824,0.002427,0.666667,0.500000,1.000000,0.231426,0.666667,0.500000,1.000000,0.231426
Yahoo,A4Benchmark-TS24,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS24.npy,16,824,0.004854,0.500000,0.500000,0.500000,0.045414,0.500000,0.500000,0.500000,0.045414
Yahoo,A4Benchmark-TS25,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS25.npy,16,824,0.003641,0.133333,0.083333,0.333333,0.148145,0.133333,0.083333,0.333333,0.148145
Yahoo,A4Benchmark-TS26,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS26.npy,16,824,0.002427,0.666667,0.500000,1.000000,0.088145,0.666667,0.500000,1.000000,0.088145
Yahoo,A4Benchmark-TS27,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS27.npy,16,824,0.008495,0.222222,0.181818,0.285714,0.032241,0.222222,0.181818,0.285714,0.032241
Yahoo,A4Benchmark-TS28,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS28.npy,16,824,0.008495,0.714286,0.714286,0.714286,0.199805,0.714286,0.714286,0.714286,0.199805
Yahoo,A4Benchmark-TS29,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS29.npy,16,824,0.009709,0.736842,0.636364,0.875000,0.127839,0.736842,0.636364,0.875000,0.127839
Yahoo,A4Benchmark-TS3,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS3.npy,16,824,0.004854,0.800000,0.666667,1.000000,1.076763,0.800000,0.666667,1.000000,1.076763
Yahoo,A4Benchmark-TS30,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS30.npy,16,824,0.002427,1.000000,1.000000,1.000000,0.156913,1.000000,1.000000,1.000000,0.156913
Yahoo,A4Benchmark-TS31,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS31.npy,16,824,0.002427,0.666667,0.500000,1.000000,0.001718,0.666667,0.500000,1.000000,0.001718
Yahoo,A4Benchmark-TS32,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS32.npy,16,824,0.007282,0.625000,0.500000,0.833333,0.627852,0.625000,0.500000,0.833333,0.627852
Yahoo,A4Benchmark-TS33,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS33.npy,16,824,0.003641,0.666667,0.666667,0.666667,0.639500,0.666667,0.666667,0.666667,0.639500
Yahoo,A4Benchmark-TS34,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS34.npy,16,824,0.002427,0.666667,0.500000,1.000000,0.161543,0.666667,0.500000,1.000000,0.161543
Yahoo,A4Benchmark-TS35,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS35.npy,16,824,0.004854,0.666667,0.500000,1.000000,0.091534,0.666667,0.500000,1.000000,0.091534
Yahoo,A4Benchmark-TS36,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS36.npy,16,824,0.010922,0.500000,0.368421,0.777778,0.145809,0.500000,0.368421,0.777778,0.145809
Yahoo,A4Benchmark-TS37,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS37.npy,16,824,0.003641,0.857143,0.750000,1.000000,1.372785,0.857143,0.750000,1.000000,1.372785
Yahoo,A4Benchmark-TS38,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS38.npy,16,824,0.003641,0.571429,0.500000,0.666667,1.084174,0.571429,0.500000,0.666667,1.084174
Yahoo,A4Benchmark-TS39,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS39.npy,16,824,0.010922,0.666667,0.533333,0.888889,0.152673,0.666667,0.533333,0.888889,0.152673
Yahoo,A4Benchmark-TS4,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS4.npy,16,824,0.006068,0.727273,0.666667,0.800000,1.531323,0.727273,0.666667,0.800000,1.531323
Yahoo,A4Benchmark-TS40,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS40.npy,16,824,0.002427,0.800000,0.666667,1.000000,0.787561,0.800000,0.666667,1.000000,0.787561
Yahoo,A4Benchmark-TS41,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS41.npy,16,824,0.006068,0.727273,0.666667,0.800000,0.055856,0.727273,0.666667,0.800000,0.055856
Yahoo,A4Benchmark-TS42,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS42.npy,16,824,0.001214,1.000000,1.000000,1.000000,2.035029,1.000000,1.000000,1.000000,2.035029
Yahoo,A4Benchmark-TS43,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS43.npy,16,824,0.006068,0.470588,0.333333,0.800000,0.036869,0.470588,0.333333,0.800000,0.036869
Yahoo,A4Benchmark-TS44,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS44.npy,16,824,0.013350,0.750000,0.692308,0.818182,0.033591,0.750000,0.692308,0.818182,0.033591
Yahoo,A4Benchmark-TS45,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS45.npy,16,824,0.007282,0.666667,0.555556,0.833333,0.282095,0.666667,0.555556,0.833333,0.282095
Yahoo,A4Benchmark-TS46,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS46.npy,16,824,0.008495,0.933333,0.875000,1.000000,0.266006,0.933333,0.875000,1.000000,0.266006
Yahoo,A4Benchmark-TS47,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS47.npy,16,824,0.001214,1.000000,1.000000,1.000000,2.035844,1.000000,1.000000,1.000000,2.035844
Yahoo,A4Benchmark-TS48,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS48.npy,16,824,0.006068,0.250000,0.333333,0.200000,0.116473,0.250000,0.333333,0.200000,0.116473
